station,line,product,direction,planned_when,actual_when,delay_seconds
alexanderplatz,S5,suburban,S Strausberg Nord,2026-08-03T22:47:00+02:00,2026-08-03T22:47:00+02:00,0.0
alexanderplatz,200,bus,"Prenzlauer Berg, Michelangelostr.",2026-08-03T22:47:00+02:00,2026-08-03T22:47:00+02:00,0.0
alexanderplatz,200,bus,S+U Zoologischer Garten via Potsdamer Platz,2026-08-03T22:47:00+02:00,2026-08-03T22:47:00+02:00,0.0
alexanderplatz,M6,tram,"Hellersdorf, Riesaer Str.",2026-08-03T22:47:00+02:00,2026-08-03T22:47:00+02:00,0.0
alexanderplatz,S5,suburban,S Westkreuz (Berlin),2026-08-03T22:48:00+02:00,2026-08-03T22:48:00+02:00,0.0
alexanderplatz,M4,tram,S Hackescher Markt,2026-08-03T22:48:00+02:00,2026-08-03T22:48:00+02:00,0.0
alexanderplatz,U8,subway,Wittenau,2026-08-03T22:48:00+02:00,2026-08-03T22:48:00+02:00,0.0
alexanderplatz,M5,tram,S+U Hauptbahnhof,2026-08-03T22:50:00+02:00,2026-08-03T22:48:00+02:00,-120.0
alexanderplatz,S7,suburban,S Westkreuz (Berlin),2026-08-03T22:50:00+02:00,2026-08-03T22:50:00+02:00,0.0
alexanderplatz,U5,subway,Hauptbahnhof,2026-08-03T22:50:00+02:00,2026-08-03T22:50:00+02:00,0.0
alexanderplatz,S3,suburban,S Erkner Bhf,2026-08-03T22:52:00+02:00,2026-08-03T22:52:00+02:00,0.0
alexanderplatz,M2,tram,Heinersdorf,2026-08-03T22:52:00+02:00,2026-08-03T22:52:00+02:00,0.0
alexanderplatz,M4,tram,"Hohenschönhausen, Zingster Str.",2026-08-03T22:52:00+02:00,2026-08-03T22:52:00+02:00,0.0
alexanderplatz,M6,tram,"Hellersdorf, Riesaer Str.",2026-08-03T23:27:00+02:00,2026-08-03T23:31:00+02:00,240.0
alexanderplatz,100,bus,"Mitte, Memhardstr.",2026-08-03T23:31:00+02:00,2026-08-03T23:31:00+02:00,0.0
alexanderplatz,S3,suburban,S Erkner Bhf,2026-08-03T23:32:00+02:00,2026-08-03T23:32:00+02:00,0.0
alexanderplatz,M2,tram,Heinersdorf,2026-08-03T23:32:00+02:00,2026-08-03T23:32:00+02:00,0.0
alexanderplatz,M4,tram,"Hohenschönhausen, Zingster Str.",2026-08-03T23:32:00+02:00,2026-08-03T23:32:00+02:00,0.0
alexanderplatz,200,bus,"Prenzlauer Berg, Michelangelostr.",2026-08-03T23:30:00+02:00,2026-08-03T23:33:00+02:00,180.0
alexanderplatz,M4,tram,S Hackescher Markt,2026-08-03T23:35:00+02:00,2026-08-03T23:33:00+02:00,-120.0
alexanderplatz,M5,tram,S+U Hauptbahnhof,2026-08-03T23:30:00+02:00,2026-08-03T23:34:00+02:00,240.0
alexanderplatz,S3,suburban,S Spandau Bhf (Berlin),2026-08-03T23:35:00+02:00,2026-08-03T23:35:00+02:00,0.0
alexanderplatz,300,bus,S+U Warschauer Str.,2026-08-03T23:37:00+02:00,2026-08-03T23:35:00+02:00,-120.0
alexanderplatz,300,bus,"Tiergarten, Philharmonie",2026-08-03T23:35:00+02:00,2026-08-03T23:36:00+02:00,60.0
alexanderplatz,U8,subway,Wittenau,2026-08-03T23:38:00+02:00,2026-08-03T23:36:00+02:00,-120.0
alexanderplatz,248,bus,S Südkreuz,2026-08-03T23:37:00+02:00,2026-08-03T23:37:00+02:00,0.0
alexanderplatz,M5,tram,"Hohenschönhausen, Zingster Str.",2026-08-03T23:37:00+02:00,2026-08-03T23:38:00+02:00,60.0
alexanderplatz,U5,subway,Biesdorf-Süd,2026-08-03T23:37:00+02:00,2026-08-03T23:38:00+02:00,60.0
alexanderplatz,U2,bus,Ersatzverkehr Richtung S+U Pankow,2026-08-03T23:39:00+02:00,2026-08-03T23:39:00+02:00,0.0
alexanderplatz,M4,tram,"Hohenschönhausen, Zingster Str.",2026-08-03T23:39:00+02:00,2026-08-03T23:39:00+02:00,0.0
alexanderplatz,U8,subway,Hermannstraße,2026-08-03T23:40:00+02:00,2026-08-03T23:39:00+02:00,-60.0
alexanderplatz,U2,bus,Ersatzverkehr Richtung U Ruhleben,2026-08-03T23:37:00+02:00,2026-08-03T23:40:00+02:00,180.0
alexanderplatz,S7,suburban,S Potsdam Hauptbahnhof,2026-08-03T23:40:00+02:00,2026-08-03T23:40:00+02:00,0.0
